0.01	-0.0020000000000000005
0.06	0.026199999999999998
0.11	0.0689
0.16	0.10680000000000002
0.21	0.16754999999999998
0.26	0.19785
0.31	0.2793
0.36	0.35725
0.41	0.42195
0.46	0.49505000000000005
0.51	0.5880000000000001
0.56	0.6587999999999999
0.61	0.72595
0.66	0.7874
0.71	0.8340000000000001
0.76	0.8706999999999999
0.81	0.9078
0.86	0.9307500000000001
0.91	0.9466499999999999
0.96	0.96175
1.01	0.9695499999999998
1.06	0.9781
1.11	0.98235
1.16	0.9893
1.21	0.9906
1.26	0.9922
1.31	0.9946
1.36	0.9960000000000001
1.41	0.9975499999999999
1.46	0.9976
1.51	0.9986
1.56	0.9989
1.61	0.9993500000000001
1.66	0.99945
1.71	0.9996
1.76	0.9994
1.81	0.9994500000000001
1.86	0.9998
1.91	0.99985
1.96	0.9999000000000001
2.01	0.9999000000000001
2.06	0.9998
2.11	0.99995
2.16	1.0
2.21	1.0
2.26	1.0
2.31	1.0
2.36	1.0
2.41	1.0
2.46	0.99995
2.51	1.0
2.56	1.0
2.61	1.0
2.66	1.0
2.71	1.0
2.76	1.0
2.81	1.0
2.86	1.0
2.91	1.0
2.96	1.0
